source_file,creation_date,modification_date,operator_code,operator_name,service_code,line_name,operating_start_date,operating_end_date,journey_pattern_section_id,timing_link_id,route_link_ref,from_stop_id,from_stop_name,from_stop_indicator,from_locality_name,from_locality_qualifier,from_latitude,from_longitude,from_sequence_number,from_activity,from_timing_status,from_wait_time_seconds,to_stop_id,to_stop_name,to_stop_indicator,to_locality_name,to_locality_qualifier,to_latitude,to_longitude,to_sequence_number,to_activity,to_timing_status,to_wait_time_seconds,runtime_seconds,runtime_minutes,distance_meters,distance_km
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-1,RL_54-107-_-y05-57629-O-1-1,490000070F,Edgware,Stop F,Edgware,Greater London,,,1,pickUp,PTP,,490000070B,Edgware Station / Station Road,,Edgware,Greater London,,,2,pickUpAndSetDown,OTH,,60,1.0,354,0.354
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-2,RL_54-107-_-y05-57629-O-1-2,490000070B,Edgware Station / Station Road,,Edgware,Greater London,,,2,pickUpAndSetDown,OTH,,490011254N,Purcells Avenue,,Edgware,Greater London,,,3,pickUpAndSetDown,OTH,,60,1.0,409,0.409
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-3,RL_54-107-_-y05-57629-O-1-3,490011254N,Purcells Avenue,,Edgware,Greater London,,,3,pickUpAndSetDown,OTH,,490006423N,Edgwarebury Lane / Edgware Way,Stop Q,Edgware,Greater London,,,4,pickUpAndSetDown,OTH,,60,1.0,326,0.326
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-4,RL_54-107-_-y05-57629-O-1-4,490006423N,Edgwarebury Lane / Edgware Way,Stop Q,Edgware,Greater London,,,4,pickUpAndSetDown,OTH,,490007224W,Glendale Avenue,Stop R,Edgware,Greater London,,,5,pickUpAndSetDown,OTH,,60,1.0,361,0.361
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-5,RL_54-107-_-y05-57629-O-1-5,490007224W,Glendale Avenue,Stop R,Edgware,Greater London,,,5,pickUpAndSetDown,OTH,,490006432S,Edgware Way,,Edgware,Greater London,,,6,pickUpAndSetDown,OTH,,60,1.0,593,0.593
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-6,RL_54-107-_-y05-57629-O-1-6,490006432S,Edgware Way,,Edgware,Greater London,,,6,pickUpAndSetDown,OTH,,490004760L,Canons Corner,Stop L,Canons Park,Greater London,,,7,pickUpAndSetDown,PTP,,60,1.0,359,0.359
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-7,RL_54-107-_-y05-57629-O-1-7,490004760L,Canons Corner,Stop L,Canons Park,Greater London,,,7,pickUpAndSetDown,PTP,,490011026N,Pipers Green Lane,->N,Edgware,Greater London,,,8,pickUpAndSetDown,OTH,,50.0,0.83,438,0.438
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-8,RL_54-107-_-y05-57629-O-1-8,490011026N,Pipers Green Lane,->N,Edgware,Greater London,,,8,pickUpAndSetDown,OTH,,490011769N,Royal National Orthopaedic Hospital,->N,Stanmore (London),Greater London,,,9,pickUpAndSetDown,OTH,,50.0,0.83,941,0.941
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-9,RL_54-107-_-y05-57629-O-1-9,490011769N,Royal National Orthopaedic Hospital,->N,Stanmore (London),Greater London,,,9,pickUpAndSetDown,OTH,,210021008015,Centennial Park,,Elstree,Hertfordshire,,,10,pickUpAndSetDown,OTH,,50.0,0.83,674,0.674
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-10,RL_54-107-_-y05-57629-O-1-10,210021008015,Centennial Park,,Elstree,Hertfordshire,,,10,pickUpAndSetDown,OTH,,210021004980,Sullivan Way,,Elstree,Hertfordshire,,,11,pickUpAndSetDown,OTH,,50.0,0.83,385,0.385
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-11,RL_54-107-_-y05-57629-O-1-11,210021004980,Sullivan Way,,Elstree,Hertfordshire,,,11,pickUpAndSetDown,OTH,,210021002780,Rodgers Close,,Elstree,Hertfordshire,,,12,pickUpAndSetDown,OTH,,50.0,0.83,324,0.324
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-12,RL_54-107-_-y05-57629-O-1-12,210021002780,Rodgers Close,,Elstree,Hertfordshire,,,12,pickUpAndSetDown,OTH,,210021008120,The East Public House,,Elstree,Hertfordshire,,,13,pickUpAndSetDown,PTP,,50.0,0.83,187,0.187
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-13,RL_54-107-_-y05-57629-O-1-13,210021008120,The East Public House,,Elstree,Hertfordshire,,,13,pickUpAndSetDown,PTP,,210021004210,Elstree Hill North,,Elstree,Hertfordshire,,,14,pickUpAndSetDown,OTH,,48.0,0.8,594,0.594
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-14,RL_54-107-_-y05-57629-O-1-14,210021004210,Elstree Hill North,,Elstree,Hertfordshire,,,14,pickUpAndSetDown,OTH,,210021004220,Knowl Way / Tauber Close,,Elstree,Hertfordshire,,,15,pickUpAndSetDown,OTH,,48.0,0.8,652,0.652
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-15,RL_54-107-_-y05-57629-O-1-15,210021004220,Knowl Way / Tauber Close,,Elstree,Hertfordshire,,,15,pickUpAndSetDown,OTH,,210021004230,Barham Avenue,,Elstree,Hertfordshire,,,16,pickUpAndSetDown,OTH,,48.0,0.8,230,0.23
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-16,RL_54-107-_-y05-57629-O-1-16,210021004230,Barham Avenue,,Elstree,Hertfordshire,,,16,pickUpAndSetDown,OTH,,210021004240,Deacons Hill Road,,Borehamwood,Hertfordshire,,,17,pickUpAndSetDown,OTH,,48.0,0.8,258,0.258
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-17,RL_54-107-_-y05-57629-O-1-17,210021004240,Deacons Hill Road,,Borehamwood,Hertfordshire,,,17,pickUpAndSetDown,OTH,,210021004245,Elstree & Borehamwood,,Elstree,Hertfordshire,,,18,pickUpAndSetDown,PTP,,48.0,0.8,443,0.443
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-18,RL_54-107-_-y05-57629-O-1-18,210021004245,Elstree & Borehamwood,,Elstree,Hertfordshire,,,18,pickUpAndSetDown,PTP,,210021004100,Glenhaven Avenue (WD6),,Borehamwood,Hertfordshire,,,19,pickUpAndSetDown,OTH,,60,1.0,269,0.269
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-19,RL_54-107-_-y05-57629-O-1-19,210021004100,Glenhaven Avenue (WD6),,Borehamwood,Hertfordshire,,,19,pickUpAndSetDown,OTH,,210021004120,Furzehill Road,->E1,Borehamwood,Hertfordshire,,,20,pickUpAndSetDown,OTH,,60,1.0,285,0.285
tfl_54-107-_-y05-57629.xml,2020-01-01T00:00:00,2021-12-29T00:00:00,ML,METROLINE TRAVEL LIMITED,PK0002167:1,107,2021-10-31,2022-12-23,JPS_54-107-_-y05-57629-1-O-1,JPL_54-107-_-y05-57629-1-O-1-20,RL_54-107-_-y05-57629-O-1-20,210021004120,Furzehill Road,->E1,Borehamwood,Hertfordshire,,,20,pickUpAndSetDown,OTH,,210021002667,Borehamwood / Tesco,Stop B,Borehamwood,Hertfordshire,,,21,pickUpAndSetDown,PTP,,60,1.0,462,0.462
